part,chapter,sub_chapter,chapter_id,title_eng,pages,language,original_copy,author,manager,translator,checker_la,checker_sc
0,0,1,0_1,GENERAL INTRODUCTION,0-4,french,yes,Roshdi Rashed,1,14.0,,
0,0,2,0_2,GENERAL INTRODUCTION,5-15,italy,No,,1,14.0,,
1,1,1,1_1,SCIENCE AND PHILOSOPHY IN LATE HELLENISM,17 - 30,german,yes,Gerhard Endress,1,7.0,,
1,2,1,2_1,FROM GREEK TO ARABIC: TRANSMISSION AND TRANSLATION,31 - 49,french,yes,Roshdi Rashed,1,8.0,,
1,3,1,3_1,KALÀM AND NATURAL PHILOSOPHY,49 -  72,french,yes,Marwan Rashed,1,7.0,,
1,4,1,4_1,PHILOSOPHY AND SCIENCE,72 - 76,english,No,The're'se-Anne Druart,1,7.0,14.0,14.0
1,5,1,5_1,LINGUISTICS AND LEXICOGRAPHY,76 - 85,english,No,Michael G. Carter,1,,,
1,6,1,6_1,ALGEBRA AND LINGUISTICS. THE BEGINNINGS OF COMBINATORIAL ANALYSIS,85 - 93,french,yes,Roshdi Rashed,1,12.0,,
1,7,1,7_1,CRYPTOLOGY AND CRYPTOANALYSIS,93 - 103,english,No,11,1,11.0,,
1,8,1,8_1,HISTORIOGRAPHY,103 - 110,french,yes,Abdesselam Cheddadi,1,7.0,,
1,9,1,9_1,ISTITUTIONS OF SCIENCE,110 - 139,english,No,Ekmeleddin Ihsanoglu,1,10.0,,
1,10,1,10_1,THE ASTRONOMICAL OBSERVATORIES,140 - 147,english,No,Ahmad Dallal,1,10.0,,
1,11,1,11_1,HOSPITALS,148 - 152,english,No,Hans Hinrich Biesterfeldt,1,2.0,,
1,12,1,12_1,THE MEDIA OF WRITING,153 - 161,french,yes,Genevieve Humbert,1,7.0,,
1,13,1,13_1,THE HIERARCHIES OF KNOWLEDGE,161 - 165,french,yes,Jean Jolivet,1,7.0,,
2,14,1,14_1,ORIGINS OF ARABO-ISLAMIC ASTRONOMY,166 - 181,english,,"Jean-Francois Oudet, Regis Morelon",1,10.0,,
2,14,2,14_2,2. Folk astronomy,,english,,,1,,,
2,14,3,14_3,3. Role and tools of astronomical observations,,french,,,1,,,
2,15,1,15_1,THE FIRST PERIOD OF ISLAMIC ASTRONOMY,181- 197,french,yes, Regis Morelon,1,5.0,,
2,16,1,16_1,CRITICISM OF PTOLOMY,198 - 213,english,No,George A. Saliba,1,14.0,,
2,17,1,17_1,ALTERNATIVES TO PTOLEMAIC ASTRONOMY,214 - 236,english,No,George A. Saliba,1,14.0,,
2,18,1,18_1,MATHEMATICAL GEOGRAPHY AND CARTOGRAPHY,237 - 248,french,yes,Edward S. Kennedy,1,5.0,,
2,19,1,19_1,NAUTICAL SCIENCE,249 - 265,english,No,Henri Grosset-Grange,1,5.0,,
2,20,1,20_1,"MÊQÀT, QIBLA, GNOMONICS",265 - 277,english,No,Ahmad Dallal,1,,,
2,21,1,21_1,ASTRONOMY IN WESTERN ISLAM,277 - 292,english,No,"Julio Samso, Juan Vernet Gines",1,,,
2,22,1,22_1,ARAB ASTRONOMY IN THE MEDIEVAL LATIN TRADITION,292 - 301,french,yes,Henri Hugonnard-Roche,1,5.0,,
2,23,1,23_1,TRANSLATION AND HEBREW EXTENSION OF ARABIC ASTRONOMY,302 - 307,english,No,Y. Tzvi Langermann,1,,,
2,24,1,24_1,Ri,307 - 312,french,yes,Efthymios Nicolaidis,1,,,
2,25,1,25_1,ASTRONOMY AND THE CLASSICAL TRADITION IN THE OTTOMAN SCIENCE,312 - 321,english,No,Ekmeleddin Ihsanoglu,1,,,
3,26,1,26_1,MATHEMATICAL TRADITIONS,322 - 326,french,yes,Roshdi Rashed,1,9.0,,
3,27,1,27_1,GEOMETRY: THE EUCLIDEAN TRADITION REVISITED,326 - 341,french,yes,Pascal Crozet,1,9.0,,
3,28,1,28_1,THE THEORY OF PARALLELS,341 - 348,french,yes,Christian Houzel,1,9.0,,
3,29,1,29_1,BOOK V OF ELEMENTS. ARABIC COMMENTARY ON TEORY OF PROPORTION,348 - 350,english,No,Bijan Vahabzadeh,1,,,
3,30,1,30_1,TRADITIONS OF BOOK X  OF ELEMENTS IN ARABIC TEXTS,351 - 359,french,yes,Marouane Ben Miled,1,,,
3,31,1,31_1,ARCHIMEDIANS AND INFINITESIMAL PROBLEMS,360 - 385,french,yes,Roshdi Rashed,1,12.0,,
3,32,1,32_1,TRADITIONS ON CONICS AND THE BEGINNING OF RESEARCH ON PROJECTIONS,385 - 402,french,yes,"رشدي راشد , Philippe Abgrall",1,12.0,,
3,33,1,33_1,"THE GEOMETRY OF CONICS: PLACES, CONTACTS AND CONSTRUCTIONS",402 - 423,french,yes,"Philipp Abgrall, Helene Bellosta",1,12.0,,
3,34,1,34_1,THE CONTINUOUS PATH OF CONICAL CURVES AND CLASSIFICATION OF CURVES,423 - 431,french,yes,Roshdi Rashed,1,12.0,,
3,35,1,35_1,TRIGONOMETRY,432 - 447,english,No,Marie-Therese Debarnot,1,5.0,,
3,36,1,36_1,EUCLIDEAN AND NEO-PYTAGOREAN ARITHMETIC AND DIOPHANTINE: NEW METODS IN NUMBER THEORY,448 - 457,french,yes,Roshdi Rashed,1,12.0,,
3,37,1,37_1,ALGEBRA AND ITS UNIFYING ROLE,457 - 471,french,yes,Roshdi Rashed,1,12.0,,
3,38,1,38_1,ALGORITHMIC METHODS,472 - 483,french,yes,Roshdi Rashed,1,12.0,,
3,39,1,39_1,PHILOSOPHY OF MATHEMATICS,483 - 498,french,yes,Roshdi Rashed,1,12.0,,
3,40,1,40_1,ARITHMETICS,498 - 506,french,yes,Pascal Crozet,1,4.0,,
3,41,1,41_1,PRACTICAL GEOMETRY,506 - 525,french,yes,Helene Bellosta,1,4.0,,
3,42,1,42_1,THE SCIENCE OF MUSIC IN ARABIC WRITINGS,525 - 538,english,No,Ammon Shiloah,1,4.0,,
3,43,1,43_1,MATEMATICS APPLIED TO ASTROLOGY,539 - 545,english,No,Edward S. Kennedy,1,,,
3,44,1,44_1,THE REVIVAL OF GEOMETRIC STUDIES IN THE LATIN WORLD,545 - 551,german,yes,Menso Folkerts,1,,,
3,45,1,45_1,HEBREW MATHEMATICS,551 - 560,french,yes,Tony Levy,1,,,
4,46,1,46_1,"BURNING MIRRORS, ANACLASTIC AND D",561 - 579,french,yes,Roshdi Rashed,1,12.0,,
4,47,1,47_1,IBN AL-HAYØAM AND THE NEW PHYSICS,579 - 610,french,yes,Hossen Masoumi Hanedani,1,4.0,,
4,48,1,48_1,STATICS,610 - 624,french,yes,"Fayza Bancel, Mariam Rozhanskaya",1,,,
4,49,1,49_1,DYNAMICS,624 - 642,french,yes,Marwan Rashed,1,3.0,,
4,50,1,50_1,KINEMATICS,642 - 646,french,yes,Helene Bellosta,1,3.0,,
4,51,1,51_1,ENGINEERING,647 - 666,english,No,"Ahmad Y. Al-Hassan, Donald R. Hill",1,,,
4,52,1,52_1,CHEMICAL TECHNOLOGY,667 - 686,english,No,Ahmad Y. Al-Hassan,1,6.0,,
4,53,1,53_1,"TECNOLOGY AND MECHANICS: AL-MURÀDÊ AND THE
ANDALUSIAN TRADITION",686 - 688,english,No,Josep Casulleras,1,5.0,,
4,54,1,54_1,OPTICS، 1. The legacy of Arabic optics in the Latin world,688 - 705,,,A. Mark Smith,1,3.0,,
4,54,2,54_2,2. Arabic optics in the Italian tradition: the beginning of the ‘perspectiva pingendi’.,,,,Graziella Federici Vescovini,1,3.0,,
4,54,3,54_3,"3. The appropriation of Greek-Arabic optics by Jewish scholars
the beginning of the ‘perspectiva pingendi’",,english,No,Eyal Meiron,1,3.0,,
4,55,1,55_1,DYNAMICS,705 -713,english,No,Ruth Glasner,1,3.0,,
5,56,1,56_1,MEDICINE IN ISLAM: AN INTRODUCTION,714 - 717,german,yes,Ursula Weisser,1,6.0,,
5,57,1,57_1,THE GALENIC TRADITION,717 - 723,german,yes,Gotthard Strohmaier,1,,,
5,58,1,58_1,MEDICAL KNOWLEDGE AND TEXTBOOKS,723 - 733,german,yes,Ursula Weisser,1,6.0,,
5,59,1,59_1,THEORETICAN AND EMPIRICAL CONTRIBUTIONS OF ARABIC PHYSICIANS,733 - 746,german,yes,Ursula Weisser,1,,,
5,60,1,60_1,THE ‘MEDICINE OF THE PROPHET’,746 - 750,german,yes,Julia Bummel,1,,,
5,61,1,61_1,THE ‘NATURAL THINGS’: STRUCTURE AND FUNCTIONS OF THE HUMAN BODY,750 - 761,german,yes,Ursula Weisser,1,,,
5,62,1,62_1,DISEASES IN MEDICAL THEORY,761 - 769,french,yes,Danielle Jacquart,1,9.0,,
5,63,1,63_1,MATERIA MEDICA AND PHARMACOLOGICAL THE,769 - 777,english,No,Nouha Stephan,1,,,
5,64,1,64_1,GENERAL MEDICINE,778 - 792,spanish,yes,Aurora Cano Ledesma,1,6.0,,
5,65,1,65_1,SURGERY,792 - 800,english,No,Emillie Savage-Smith,1,2.0,,
5,66,1,66_1,OPHTALMOLOGY,800 - 809,english,No,Emillie Savage-Smith,1,,,
5,67,1,67_1,MENTAL AND PSYCOSOMATIC DISEASES,809 - 813,english,No,Hans Hinrich Biesterfeldt,1,2.0,,
5,68,1,68_1,FARMACEUTICAL,813 - 819,english,No,"Mehrnaz Katouzian-Safadi, Nouha Stephan",1,,,
5,69,1,69_1,THE MEDICAL PROFESSION,820 - 825,english,No,Hans Hinrich Biesterfeldt,1,13.0,,
5,70,1,70_1,REGIONAL TRADITIONS AND DEVELOPMENTS IN MEDICINE,,,,,1,,,
5,70,2,70_2,2. Latin translation, 825 - 842 ,french,yes,Mauro Zonta,1,9.0,,
5,70,3,70_3,3. The Hebrew translations,,,,,1,,,
5,71,1,71_1,BOTANICS,842 - 851,italy,No,Mauro Zonta,1,,,
5,72,1,72_1,AGRONOMY,851 - 857,french,yes,"Mohamed El Faiz, Expiracion Garcia Sanchez",1,,,
5,73,1,73_1,"ZOOLOGY, ZOOGRAPHY AND VETERINARY MEDICINE",857 - 873,german,yes,Herbert Eisenstein,1,15.0,,
