chapter_id,translation_ass,translation_deadline,translation_sub,checking_lan_ass,checking_lan_deadline,cheking_lan_sub,checking_sc_ass,checking_sc_deadline,cheking_sc_sub,check_sc_sub,check_sc_ass,translate_sub,check_lan_sub,translate_ass
0_1,1970-01-01 01:00:45.667,,,,,,,,,,,,,
0_2,,,,,,,,,,,,,,
1_1,1970-01-01 01:00:45.709,,,,,,,,,,,2025-04-04,,
2_1,,,,,,,,,,,,,,
3_1,1970-01-01 01:00:45.709,,,,,,,,,,,,,
4_1,1970-01-01 01:00:45.667,,1970-01-01 01:00:45.704,,,1970-01-01 01:00:45.726,,,,,,,,
5_1,,,,,,,,,,,,,,
6_1,,,,,,,,,,,,,,
7_1,1970-01-01 01:00:45.672,,,,,,,,,,,,,
8_1,,,,,,,,,,,,,,
9_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
10_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
11_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
12_1,1970-01-01 01:00:45.709,,,,,,,,,,,,,
13_1,1970-01-01 01:00:45.709,,,,,,,,,,,,,
14_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
14_2,,,,,,,,,,,,,,
14_3,,,,,,,,,,,,,,
15_1,,,,,,,,,,,,,,
16_1,1970-01-01 01:00:45.699,,,,,,,,,,,,,
17_1,1970-01-01 01:00:45.699,,,,,,,,,,,,,
18_1,,,,,,,,,,,,,,
19_1,,,,,,,,,,,,,,
20_1,,,,,,,,,,,,,,
21_1,,,,,,,,,,,,,,
22_1,,,,,,,,,,,,,,
23_1,,,,,,,,,,,,,,
24_1,,,,,,,,,,,,,,
25_1,,,,,,,,,,2025-04-04,,,,
26_1,1970-01-01 01:00:45.699,,1970-01-01 01:00:45.717,,,,,,,,,,,
27_1,1970-01-01 01:00:45.699,,,,,,,,,,,,,
28_1,1970-01-01 01:00:45.699,,,,,,,,,,,,,
29_1,,,,,,,,,,,,,,
30_1,,,,,,,,,,,2025-04-04,2025-04-04,,
31_1,,,,,,,,,,,,,,
32_1,,,,,,,,,,,,,,
33_1,,,,,,,,,,,,,,
34_1,,,,,,,,,,,,,2025-04-04,
35_1,,,,,,,,,,,,2025-04-04,,
36_1,,,,,,,,,,,,,,
37_1,,,,,,,,,,,,,,
38_1,,,,,,,,,,,,,,
39_1,,,,,,,,,,,,,,
40_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
41_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
42_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
43_1,,,,,,,,,,,,,,
44_1,,,,,,,,,,,,,,
45_1,,,,,,,,,,,,,,
46_1,,,,,,,,,,,,,,
47_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
48_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
49_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
50_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
51_1,,,,,,,,,,,,,,
52_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
53_1,,,,,,,,,,,,,,
54_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
54_2,1970-01-01 01:00:45.698,,1970-01-01 01:00:45.720,,,,,,,,,,,
54_3,1970-01-01 01:00:45.698,,1970-01-01 01:00:45.720,,,,,,,,,,,
55_1,1970-01-01 01:00:45.698,,,,,,,,,,,,,
56_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
57_1,,,,,,,,,,,,,,
58_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
59_1,,,,,,,,,,,,,,
60_1,,,,,,,,,,,,,,
61_1,,,,,,,,,,,,,,
62_1,1970-01-01 01:00:45.699,,,,,,,,,,,,,
63_1,,,,,,,,,,,,,,
64_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
65_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
66_1,,,,,,,,,,,,,,
67_1,1970-01-01 01:00:45.710,,,,,,,,,,,,,
68_1,,,,,,,,,,,,,,
69_1,1970-01-01 01:00:45.712,,,,,,,,,,,,,
70_1,,,,,,,,,,,,,,
70_2,1970-01-01 01:00:45.699,,,,,,,,,,,,,
70_3,,,,,,,,,,,,,,
71_1,,,,,,,,,,,,,,
72_1,,,,,,,,,,,,,,
73_1,,,,,,,,,,2025-04-05,,2025-04-05,2025-04-05,2025-04-05
